cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers,n_runs,success_n_mean,success_n_std,converged_rate,steps_to_converge_mean,steps_to_converge_std,final_loss_mean,final_loss_std,final_train_acc_mean,final_train_acc_std,fp_mode_code,fp_mode_frac
1.0,xavier_normal,0.01,4,1,5,14.2,3.420526275297414,1.0,410.0,134.16407864998737,0.3296435296535492,0.03563721089474817,100.0,0.0,cell3_sign1_fgH,0.4
1.0,orthogonal_recurrent_xavier,0.05,2,1,5,14.2,8.46758525200662,0.8,459.8,417.7082714048167,0.32205104231834414,0.05021870957944212,98.1637466430664,4.105987330015701,cell0_sign-1_fgH,0.4
1.0,xavier_uniform,0.01,4,1,5,14.0,3.082207001484488,1.0,320.0,44.721359549995796,0.35701786279678344,0.03648611004811404,100.0,0.0,cell1_sign1_fgH,0.4
1.0,xavier_uniform,0.005,4,1,5,14.0,4.743416490252569,1.0,660.0,138.74436925511608,0.33284820318222047,0.07159865188011572,100.0,0.0,cell1_sign1_fgH,0.4
1.0,small_normal,0.01,8,1,5,13.8,3.03315017762062,1.0,250.0,50.0,0.2955030560493469,0.024342315071573164,100.0,0.0,cell2_sign1_fgH,0.2
1.0,xavier_uniform,0.005,4,2,5,13.8,2.1679483388678804,1.0,700.0,285.0438562747845,0.3766684591770172,0.06921488723701692,100.0,0.0,cell3_sign-1_fgH,0.2
1.0,xavier_uniform,0.01,8,1,5,13.6,2.9664793948382653,1.0,210.0,41.83300132670378,0.3604890763759613,0.05540076941617985,100.0,0.0,cell6_sign-1_fgH,0.4
1.0,pytorch_default,0.005,8,2,5,13.6,1.1401754250991378,1.0,300.0,70.71067811865476,0.31474549770355226,0.019773556284333426,100.0,0.0,cell6_sign-1_fgM,0.2
1.0,small_normal,0.005,8,1,5,13.6,0.8944271909999161,1.0,380.0,109.54451150103323,0.3050707638263702,0.04885864366521668,100.0,0.0,cell1_sign1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.005,8,2,5,13.6,2.8809720581775866,1.0,390.0,41.83300132670378,0.3087322056293488,0.0513413698313169,100.0,0.0,cell1_sign1_fgH,0.4
1.0,xavier_uniform,0.005,8,1,5,13.4,2.073644135332772,1.0,320.0,44.721359549995796,0.34053096175193787,0.044190717213419745,100.0,0.0,cell6_sign-1_fgH,0.4
1.0,pytorch_default,0.01,8,1,5,13.2,1.6431676725154982,1.0,160.0,22.360679774997898,0.32752087712287903,0.045418774584627016,100.0,0.0,cell0_sign-1_fgH,0.4
1.0,small_normal,0.1,2,1,5,12.8,12.537942414925983,0.6,519.6,614.4268060558556,0.3741266429424286,0.050622854970752605,97.09625244140625,4.2019491642421976,cell1_sign1_fgH,0.4
1.0,pytorch_default,0.005,4,2,5,12.6,1.3416407864998738,1.0,580.0,238.74672772626644,0.3448678493499756,0.060347431730229925,100.0,0.0,cell0_sign1_fgH,0.4
1.0,small_normal,0.01,8,2,5,12.4,1.9493588689617927,1.0,270.0,97.46794344808964,0.31805561780929564,0.050123409055445885,100.0,0.0,cell6_sign-1_fgM,0.2
1.0,orthogonal_recurrent_xavier,0.005,4,1,5,12.2,1.6431676725154982,1.0,610.0,134.16407864998737,0.3364973604679108,0.02837568619651854,100.0,0.0,cell2_sign1_fgH,0.2
1.0,orthogonal_recurrent_xavier,0.1,2,2,5,12.2,9.628083921528727,0.8,249.8,245.20440452814054,0.40732765197753906,0.06870877891656205,98.81634368896485,2.6467359734712437,cell1_sign-1_fgL,0.4
1.0,orthogonal_recurrent_xavier,0.05,2,2,5,12.0,7.582875444051551,0.8,409.8,341.9871342609251,0.4433172881603241,0.037717064531847914,99.54545440673829,1.016394845406173,cell0_sign-1_fgL,0.2
