seed,learning_rate,num_cells,num_layers,embd_size,drop_prob,training_steps,valid_steps,n_max_train,n_test,init_scheme,init_scale,converged,steps_to_converge,final_train_mean_acc,final_loss,success_n,elapsed_sec,fp_row,fp_len,fp_counter_cell,fp_corr,fp_corr_sign,fp_fg_a,fp_ig_a,fp_og_a,fp_fg_b,fp_ig_b,fp_og_b,fp_code,config_id,cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers
0,0.05,8,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,150,100.0,0.2541835308074951,25,5.850990295410156,8,18,2,-0.9400384426116943,-1,0.9861481785774231,0.934206485748291,0.9487942457199097,0.9955508708953857,0.9950480461120605,0.9984625577926636,cell2_sign-1_fgH,40,1.0,xavier_uniform,0.05,8,1
1,0.05,8,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.2997061312198639,15,4.267661094665527,8,18,4,-0.9412201642990112,-1,0.9934409856796265,0.8894895911216736,0.9678921699523926,0.9977692365646362,0.9805719256401062,0.9975022077560425,cell4_sign-1_fgH,40,1.0,xavier_uniform,0.05,8,1
2,0.05,8,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.2511920928955078,32,2.4250905513763428,8,18,2,0.9357444047927856,1,0.9887940883636475,0.8922609090805054,0.9425345659255981,0.9995366334915161,0.9985697865486145,0.99972003698349,cell2_sign1_fgH,40,1.0,xavier_uniform,0.05,8,1
3,0.05,8,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.26583006978034973,10,2.3700497150421143,8,18,0,-0.9367144703865051,-1,0.9316409826278687,0.6466865539550781,0.9206098914146423,0.690151572227478,0.0959123969078064,0.9452923536300659,cell0_sign-1_fgM,40,1.0,xavier_uniform,0.05,8,1
4,0.05,8,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.4449729919433594,10,2.3616461753845215,8,18,6,-0.9313414692878723,-1,0.9486030340194702,0.9969496726989746,0.9195362329483032,0.9638099074363708,0.9155770540237427,0.9857091903686523,cell6_sign-1_fgH,40,1.0,xavier_uniform,0.05,8,1
0,0.05,8,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.3682410717010498,11,6.614069700241089,8,18,2,0.9322649836540222,1,0.9769511818885803,0.9660003185272217,0.8538532257080078,0.7879259586334229,0.06158176064491272,0.9225648641586304,cell2_sign1_fgH,41,1.0,xavier_uniform,0.05,8,2
1,0.05,8,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.325394868850708,20,3.618983268737793,8,18,1,-0.7632113695144653,-1,0.829696536064148,0.7839157581329346,0.7183308005332947,0.8545143008232117,0.9715227484703064,0.9559491276741028,cell1_sign-1_fgH,41,1.0,xavier_uniform,0.05,8,2
2,0.05,8,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.3040919899940491,34,6.566053628921509,8,18,1,0.941326379776001,1,0.9888080954551697,0.8994828462600708,0.8187223076820374,0.9992740154266357,0.9962007999420166,0.9942488670349121,cell1_sign1_fgH,41,1.0,xavier_uniform,0.05,8,2
3,0.05,8,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.20222491025924683,22,6.338830947875977,8,18,7,0.674660861492157,1,0.789539098739624,0.4261828362941742,0.23959773778915405,0.17134669423103333,0.8838958740234375,0.9939330816268921,cell7_sign1_fgL,41,1.0,xavier_uniform,0.05,8,2
4,0.05,8,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.47035208344459534,22,3.479872703552246,8,18,7,-0.8368194103240967,-1,0.9346813559532166,0.48167192935943604,0.8157361149787903,0.695073127746582,0.09008295834064484,0.824054479598999,cell7_sign-1_fgM,41,1.0,xavier_uniform,0.05,8,2
